Date, Close/Last, Volume, Open, High, Low
10/11/2019, $86.36, 5621572, $87.02, $87.25, $86.26
10/10/2019, $85.96, 4257671, $85.91, $86.0658, $85.38
10/09/2019, $85.85, 4450259, $85.37, $86.17, $85.28
10/08/2019, $84.91, 6386914, $85.49, $86.33, $84.69
10/07/2019, $85.85, 4445596, $85.71, $86.16, $85.49
10/04/2019, $85.92, 5891718, $84.9, $85.97, $84.746
10/03/2019, $84.67, 6061699, $84.3, $84.91, $83.61
10/02/2019, $84.32, 10036460, $85.95, $86.01, $84.16
10/01/2019, $86.51, 6805628, $88.63, $88.894, $86.45
09/30/2019, $88.42, 6650433, $88.41, $88.56, $87.61
09/27/2019, $88.37, 5988453, $90.3, $90.3, $87.79
09/26/2019, $89.8, 5531821, $90.84, $91.15, $89.5
09/25/2019, $90.35, 5263768, $89.94, $90.61, $89.02
09/24/2019, $89.92, 5688165, $91.6, $91.77, $89.51
09/23/2019, $90.81, 4943643, $90.32, $91.16, $89.93
09/20/2019, $90.07, 11241790, $91.61, $92.08, $90.06
09/19/2019, $91.56, 4874742, $90.99, $92.1, $90.3
09/18/2019, $90.96, 4559657, $90.98, $91.36, $90.06
09/17/2019, $90.75, 6511690, $89.67, $91.46, $89.65
09/16/2019, $89.42, 6339236, $90.02, $90.45, $89.3769
09/13/2019, $90.48, 6972260, $92.145, $92.145, $90.315
09/12/2019, $92.06, 6862165, $92.16, $93.315, $91.77
09/11/2019, $90.98, 8406555, $90.18, $91.45, $89.61
09/10/2019, $90.35, 12490900, $93.81, $93.88, $89.3033
09/09/2019, $94.16, 6523299, $95.8, $95.93, $93.74
09/06/2019, $95.74, 3991773, $95.75, $96.34, $95.51
09/05/2019, $95.56, 5514796, $96.54, $96.96, $95.17
09/04/2019, $96.11, 12937510, $94.48, $96.3258, $93.032
09/03/2019, $96.77, 5150830, $96.42, $97.21, $96.05
08/30/2019, $96.56, 5210451, $98.14, $98.14, $96.105
08/29/2019, $97.7, 4514498, $97.85, $98.07, $97.06
08/28/2019, $97.07, 4948761, $96.23, $97.21, $96
08/27/2019, $96.09, 6540103, $96.7, $97.1, $96.03
08/26/2019, $96.5, 5806558, $95.38, $96.5, $95
08/23/2019, $94.7, 8077465, $96.41, $97.1, $94.39
08/22/2019, $96.49, 5147125, $96.59, $96.85, $95.7
08/21/2019, $96.32, 4740743, $96.27, $96.65, $95.73
08/20/2019, $95.63, 6809918, $96.35, $97.12, $95.59
08/19/2019, $96.66, 5325315, $97.23, $97.4071, $96.2203
08/16/2019, $96.52, 5032916, $96.29, $96.83, $95.8525
08/15/2019, $95.53, 5566890, $95.5, $96.27, $94.61
08/14/2019, $94.92, 9989526, $95.91, $97.0238, $94.87
08/13/2019, $96.63, 8938251, $94.52, $96.67, $94.21
08/12/2019, $94.91, 5513811, $95.78, $96.02, $94.3
08/09/2019, $96.3, 5209181, $96.15, $96.84, $95.42
08/08/2019, $96.27, 7423616, $95.23, $96.4133, $94.435
08/07/2019, $95.22, 6414046, $94.6, $95.7, $94.17
08/06/2019, $95.34, 7437982, $94.31, $95.71, $93.8
08/05/2019, $93.7, 8917441, $94.51, $95.52, $93.03
08/02/2019, $95.51, 6381721, $95, $96.04, $94.8
08/01/2019, $95.38, 8342662, $95, $97.58, $94.58
07/31/2019, $94.69, 9912147, $96.65, $96.65, $93.5
07/30/2019, $96.65, 7248270, $97.5, $98.275, $96.52
07/29/2019, $98.02, 11184510, $98.05, $98.94, $97.208
07/26/2019, $99.11, 20846460, $96.4, $99.72, $95.21
07/25/2019, $90.98, 8106322, $91.49, $91.55, $90.47
07/24/2019, $90.65, 5388138, $89.9, $90.75, $89.68
07/23/2019, $90.11, 7609248, $91.25, $91.36, $89.17
07/22/2019, $90.92, 5636657, $90.52, $91.18, $90.05
07/19/2019, $90.3, 10804900, $91.41, $91.61, $90.2342
07/18/2019, $91.5, 6471383, $90.33, $91.54, $89.95
07/17/2019, $90.25, 4636215, $90.08, $90.38, $89.7278
07/16/2019, $90.08, 5591855, $90.22, $90.48, $89.59
07/15/2019, $90.16, 6061252, $89.87, $90.34, $89.66
07/12/2019, $89.77, 5628010, $89.28, $89.82, $88.85
07/11/2019, $89.07, 6191375, $88.66, $89.29, $88.265
07/10/2019, $88.38, 5293013, $87.42, $88.54, $87.42
07/09/2019, $87.23, 5355536, $87.29, $87.65, $86.89
07/08/2019, $87.44, 6359676, $87.6, $87.95, $87.18
07/05/2019, $87.79, 5733239, $87.5, $87.8855, $86.88
07/03/2019, $87.79, 7818552, $86.04, $87.82, $85.98
07/02/2019, $85.51, 6206087, $84.74, $85.59, $84.52
07/01/2019, $84.55, 7940539, $84.62, $84.96, $84.03
06/28/2019, $83.83, 6735620, $83.56, $83.96, $83.32
06/27/2019, $83.56, 6084200, $83.55, $83.89, $83.21
06/26/2019, $83.38, 7576443, $84.3, $84.3, $83.18
06/25/2019, $84.25, 7312327, $84.2, $85.2, $83.96
06/24/2019, $83.65, 6692691, $84.08, $84.56, $83.61
06/21/2019, $83.82, 12610160, $84.43, $84.7701, $83.81
06/20/2019, $84.69, 5216143, $84.41, $84.8292, $83.83
06/19/2019, $83.81, 5401369, $83.08, $83.92, $82.08
06/18/2019, $82.92, 10582590, $83.55, $84.11, $82.885
06/17/2019, $83.02, 9313807, $84.65, $84.69, $82.8949
06/14/2019, $84.24, 9226463, $83.54, $84.61, $83.39
06/13/2019, $83.35, 7156842, $83.33, $84.05, $83.02
06/12/2019, $82.93, 6089028, $82.59, $83.67, $82.32
06/11/2019, $82.37, 6226559, $82.3, $82.86, $81.85
06/10/2019, $81.93, 8102783, $82.85, $82.86, $81.38
06/07/2019, $82.48, 11278800, $81.6, $83.33, $81.51
06/06/2019, $81.4, 10457250, $80.03, $81.63, $79.9
06/05/2019, $79.96, 7437117, $78.79, $79.97, $78.66
06/04/2019, $78.52, 11685010, $76.77, $78.755, $76.66
06/03/2019, $76.22, 8122316, $76.12, $76.53, $75.65
05/31/2019, $76.06, 7625694, $75.6, $76.32, $75.38
05/30/2019, $76.17, 7178431, $75.65, $76.43, $75.63
05/29/2019, $75.28, 10511590, $75.33, $75.49, $74.33
05/28/2019, $75.7, 16205160, $76.36, $76.68, $75.32
05/24/2019, $76.15, 5627633, $76.83, $77.06, $75.97
05/23/2019, $76.41, 9213376, $76.88, $76.94, $75.69
05/22/2019, $77.25, 5602516, $77.2, $77.715, $76.91
05/21/2019, $77.53, 5808516, $77.05, $77.85, $76.75
05/20/2019, $76.66, 11474970, $78.3, $78.42, $76.57
05/17/2019, $78.91, 7380077, $78.52, $79.6501, $78.37
05/16/2019, $78.9, 6941762, $77.66, $79.24, $77.57
05/15/2019, $77.76, 5415741, $76.69, $77.94, $76.525
05/14/2019, $77.06, 6871125, $76.75, $77.74, $76.68
05/13/2019, $76.68, 9778829, $77.25, $77.78, $76.08
05/10/2019, $78.42, 6448552, $77.63, $78.8, $77.16
05/09/2019, $77.9, 7326756, $77.58, $78.23, $77.345
05/08/2019, $78.05, 7799892, $77.58, $78.64, $77.12
05/07/2019, $77.96, 8115808, $77.57, $78.74, $77.42
05/06/2019, $78.06, 5607843, $77.2, $78.08, $77.02
05/03/2019, $78.05, 4967928, $77.59, $78.4, $77.34
05/02/2019, $77.47, 6247550, $77.66, $77.76, $76.75
05/01/2019, $77.52, 6678194, $77.67, $78.15, $77.37
04/30/2019, $77.68, 7382071, $77, $77.79, $76.69
